date,tickers
2015-04-30,"360ONE,AADHARHFC,AAVAS,ABREL,ACE,AEGISCHEM,AEGISLOG,AEGISVOPAK,AFFLE,ALLCARGO,ALOKINDS,AMBER,ANANDRATHI,ANGELONE,ANURAS,APARINDS,APTUS,ARE&M,ASTERDM,ATUL,AVANTIFEED,BAJAJELEC,BALAMINES,BALRAMCHIN,BANDHANBNK,BASF,BATAINDIA,BEML,BIRLACORPN,BLS,BRIGADE,BSOFT,CAMS,CDSL,CENTRALBK,CESC,CGCL,CHAMBLFERT,CHEMPLASTS,CHENNPETRO,CHOLAHLDNG,CYIENT,DATAPATTNS,DBL,DCMSHRIRAM,DELTACORP,DEVYANI,EDELWEISS,FINCABLES,FINEORG,FSL,GILLETTE,GLAND,GMMPFAUDLR,GODIGIT,GRANULES,GRSE,HAPPSTMNDS,HBLENGINE,HEG,HFCL,HINDCOPPER,IBULHSGFIN,IDFC,IFCI,INDIGOPNTS,INOXWIND,INTELLECT,IOB,JBCHEPHARM,JBMA,JINDALSAW,JKLAKSHMI,JMFINANCIL,JUBLINGREA,JUSTDIAL,JWL,JYOTHYLAB,JYOTICNC,KALYANKJIL,KAYNES,KEC,KEI,KPIL,LALPATHLAB,LATENTVIEW,LAURUSLABS,LUXIND,LXCHEM,MAPMYINDIA,MASTEK,MCX,MEDPLUS,METROBRAND,MGL,MMTC,MOTILALOFS,NATCOPHARM,NBCC,NSLNISP,OLAELEC,PEL,PNBHOUSING,POONAWALLA,PRINCEPIPE,PVRINOX,RADICO,RAIN,RAMCOCEM,RBLBANK,REDINGTON,ROSSARI,ROUTE,RVNL,SIGNATURE,SJVN,SOBHA,SONATSOFTW,SPARC,STARHEALTH,SUNTECK,SUZLON,SWANCORP,SWSOLAR,TANLA,TRITURBINE,TRIVENI,TTML,UTIAMC,VIPIND,WHIRLPOOL,WOCKPHARMA,ZEEL,ZENSARTECH"
2015-05-31,"360ONE,AADHARHFC,AAVAS,ABREL,ACE,AEGISCHEM,AEGISLOG,AEGISVOPAK,AFFLE,ALLCARGO,ALOKINDS,AMBER,ANANDRATHI,ANGELONE,ANURAS,APARINDS,APTUS,ARE&M,ASTERDM,ATUL,AVANTIFEED,BAJAJELEC,BALAMINES,BALRAMCHIN,BANDHANBNK,BASF,BATAINDIA,BEML,BIRLACORPN,BLS,BRIGADE,BSOFT,CAMS,CDSL,CENTRALBK,CESC,CGCL,CHAMBLFERT,CHEMPLASTS,CHENNPETRO,CHOLAHLDNG,CYIENT,DATAPATTNS,DBL,DCMSHRIRAM,DELTACORP,DEVYANI,EDELWEISS,FINCABLES,FINEORG,FSL,GILLETTE,GLAND,GMMPFAUDLR,GODIGIT,GRANULES,GRSE,HAPPSTMNDS,HBLENGINE,HEG,HFCL,HINDCOPPER,IBULHSGFIN,IDFC,IFCI,INDIGOPNTS,INOXWIND,INTELLECT,IOB,JBCHEPHARM,JBMA,JINDALSAW,JKLAKSHMI,JMFINANCIL,JUBLINGREA,JUSTDIAL,JWL,JYOTHYLAB,JYOTICNC,KALYANKJIL,KAYNES,KEC,KEI,KPIL,LALPATHLAB,LATENTVIEW,LAURUSLABS,LUXIND,LXCHEM,MAPMYINDIA,MASTEK,MCX,MEDPLUS,METROBRAND,MGL,MMTC,MOTILALOFS,NATCOPHARM,NBCC,NSLNISP,OLAELEC,PEL,PNBHOUSING,POONAWALLA,PRINCEPIPE,PVRINOX,RADICO,RAIN,RAMCOCEM,RBLBANK,REDINGTON,ROSSARI,ROUTE,RVNL,SIGNATURE,SJVN,SOBHA,SONATSOFTW,SPARC,STARHEALTH,SUNTECK,SUZLON,SWANCORP,SWSOLAR,TANLA,TRITURBINE,TRIVENI,TTML,UTIAMC,VIPIND,WHIRLPOOL,WOCKPHARMA,ZEEL,ZENSARTECH"
2015-06-30,"360ONE,AADHARHFC,AAVAS,ABREL,ACE,AEGISCHEM,AEGISLOG,AEGISVOPAK,AFFLE,ALLCARGO,ALOKINDS,AMBER,ANANDRATHI,ANGELONE,ANURAS,APARINDS,APTUS,ARE&M,ASTERDM,ATUL,AVANTIFEED,BAJAJELEC,BALAMINES,BALRAMCHIN,BANDHANBNK,BASF,BATAINDIA,BEML,BIRLACORPN,BLS,BRIGADE,BSOFT,CAMS,CDSL,CENTRALBK,CESC,CGCL,CHAMBLFERT,CHEMPLASTS,CHENNPETRO,CHOLAHLDNG,CYIENT,DATAPATTNS,DBL,DCMSHRIRAM,DELTACORP,DEVYANI,EDELWEISS,FINCABLES,FINEORG,FSL,GILLETTE,GLAND,GMMPFAUDLR,GODIGIT,GRANULES,GRSE,HAPPSTMNDS,HBLENGINE,HEG,HFCL,HINDCOPPER,IBULHSGFIN,IDFC,IFCI,INDIGOPNTS,INOXWIND,INTELLECT,IOB,JBCHEPHARM,JBMA,JINDALSAW,JKLAKSHMI,JMFINANCIL,JUBLINGREA,JUSTDIAL,JWL,JYOTHYLAB,JYOTICNC,KALYANKJIL,KAYNES,KEC,KEI,KPIL,LALPATHLAB,LATENTVIEW,LAURUSLABS,LUXIND,LXCHEM,MAPMYINDIA,MASTEK,MCX,MEDPLUS,METROBRAND,MGL,MMTC,MOTILALOFS,NATCOPHARM,NBCC,NSLNISP,OLAELEC,PEL,PNBHOUSING,POONAWALLA,PRINCEPIPE,PVRINOX,RADICO,RAIN,RAMCOCEM,RBLBANK,REDINGTON,ROSSARI,ROUTE,RVNL,SIGNATURE,SJVN,SOBHA,SONATSOFTW,SPARC,STARHEALTH,SUNTECK,SUZLON,SWANCORP,SWSOLAR,TANLA,TRITURBINE,TRIVENI,TTML,UTIAMC,VIPIND,WHIRLPOOL,WOCKPHARMA,ZEEL,ZENSARTECH"
2015-07-31,"360ONE,AADHARHFC,AAVAS,ABREL,ACE,AEGISCHEM,AEGISLOG,AEGISVOPAK,AFFLE,ALLCARGO,ALOKINDS,AMBER,ANANDRATHI,ANGELONE,ANURAS,APARINDS,APTUS,ARE&M,ASTERDM,ATUL,AVANTIFEED,BAJAJELEC,BALAMINES,BALRAMCHIN,BANDHANBNK,BASF,BATAINDIA,BEML,BIRLACORPN,BLS,BRIGADE,BSOFT,CAMS,CDSL,CENTRALBK,CESC,CGCL,CHAMBLFERT,CHEMPLASTS,CHENNPETRO,CHOLAHLDNG,CYIENT,DATAPATTNS,DBL,DCMSHRIRAM,DELTACORP,DEVYANI,EDELWEISS,FINCABLES,FINEORG,FSL,GILLETTE,GLAND,GMMPFAUDLR,GODIGIT,GRANULES,GRSE,HAPPSTMNDS,HBLENGINE,HEG,HFCL,HINDCOPPER,IBULHSGFIN,IDFC,IFCI,INDIGOPNTS,INOXWIND,INTELLECT,IOB,JBCHEPHARM,JBMA,JINDALSAW,JKLAKSHMI,JMFINANCIL,JUBLINGREA,JUSTDIAL,JWL,JYOTHYLAB,JYOTICNC,KALYANKJIL,KAYNES,KEC,KEI,KPIL,LALPATHLAB,LATENTVIEW,LAURUSLABS,LUXIND,LXCHEM,MAPMYINDIA,MASTEK,MCX,MEDPLUS,METROBRAND,MGL,MMTC,MOTILALOFS,NATCOPHARM,NBCC,NSLNISP,OLAELEC,PEL,PNBHOUSING,POONAWALLA,PRINCEPIPE,PVRINOX,RADICO,RAIN,RAMCOCEM,RBLBANK,REDINGTON,ROSSARI,ROUTE,RVNL,SIGNATURE,SJVN,SOBHA,SONATSOFTW,SPARC,STARHEALTH,SUNTECK,SUZLON,SWANCORP,SWSOLAR,TANLA,TRITURBINE,TRIVENI,TTML,UTIAMC,VIPIND,WHIRLPOOL,WOCKPHARMA,ZEEL,ZENSARTECH"
2015-08-31,"360ONE,AADHARHFC,AAVAS,ABREL,ACE,AEGISCHEM,AEGISLOG,AEGISVOPAK,AFFLE,ALLCARGO,ALOKINDS,AMBER,ANANDRATHI,ANGELONE,ANURAS,APARINDS,APTUS,ARE&M,ASTERDM,ATUL,AVANTIFEED,BAJAJELEC,BALAMINES,BALRAMCHIN,BANDHANBNK,BASF,BATAINDIA,BEML,BIRLACORPN,BLS,BRIGADE,BSOFT,CAMS,CDSL,CENTRALBK,CESC,CGCL,CHAMBLFERT,CHEMPLASTS,CHENNPETRO,CHOLAHLDNG,CYIENT,DATAPATTNS,DBL,DCMSHRIRAM,DELTACORP,DEVYANI,EDELWEISS,FINCABLES,FINEORG,FSL,GILLETTE,GLAND,GMMPFAUDLR,GODIGIT,GRANULES,GRSE,HAPPSTMNDS,HBLENGINE,HEG,HFCL,HINDCOPPER,IBULHSGFIN,IDFC,IFCI,INDIGOPNTS,INOXWIND,INTELLECT,IOB,JBCHEPHARM,JBMA,JINDALSAW,JKLAKSHMI,JMFINANCIL,JUBLINGREA,JUSTDIAL,JWL,JYOTHYLAB,JYOTICNC,KALYANKJIL,KAYNES,KEC,KEI,KPIL,LALPATHLAB,LATENTVIEW,LAURUSLABS,LUXIND,LXCHEM,MAPMYINDIA,MASTEK,MCX,MEDPLUS,METROBRAND,MGL,MMTC,MOTILALOFS,NATCOPHARM,NBCC,NSLNISP,OLAELEC,PEL,PNBHOUSING,POONAWALLA,PRINCEPIPE,PVRINOX,RADICO,RAIN,RAMCOCEM,RBLBANK,REDINGTON,ROSSARI,ROUTE,RVNL,SIGNATURE,SJVN,SOBHA,SONATSOFTW,SPARC,STARHEALTH,SUNTECK,SUZLON,SWANCORP,SWSOLAR,TANLA,TRITURBINE,TRIVENI,TTML,UTIAMC,VIPIND,WHIRLPOOL,WOCKPHARMA,ZEEL,ZENSARTECH"
2015-09-30,"360ONE,AADHARHFC,AAVAS,ABREL,ACE,AEGISCHEM,AEGISLOG,AEGISVOPAK,AFFLE,ALLCARGO,ALOKINDS,AMBER,ANANDRATHI,ANGELONE,ANURAS,APARINDS,APTUS,ARE&M,ASTERDM,ATUL,AVANTIFEED,BAJAJELEC,BALAMINES,BALRAMCHIN,BANDHANBNK,BASF,BATAINDIA,BEML,BIRLACORPN,BLS,BRIGADE,BSOFT,CAMS,CDSL,CENTRALBK,CESC,CGCL,CHAMBLFERT,CHEMPLASTS,CHENNPETRO,CHOLAHLDNG,CYIENT,DATAPATTNS,DBL,DCMSHRIRAM,DELTACORP,DEVYANI,EDELWEISS,FINCABLES,FINEORG,FSL,GILLETTE,GLAND,GMMPFAUDLR,GODIGIT,GRANULES,GRSE,HAPPSTMNDS,HBLENGINE,HEG,HFCL,HINDCOPPER,IBULHSGFIN,IDFC,IFCI,INDIGOPNTS,INOXWIND,INTELLECT,IOB,JBCHEPHARM,JBMA,JINDALSAW,JKLAKSHMI,JMFINANCIL,JUBLINGREA,JUSTDIAL,JWL,JYOTHYLAB,JYOTICNC,KALYANKJIL,KAYNES,KEC,KEI,KPIL,LALPATHLAB,LATENTVIEW,LAURUSLABS,LUXIND,LXCHEM,MAPMYINDIA,MASTEK,MCX,MEDPLUS,METROBRAND,MGL,MMTC,MOTILALOFS,NATCOPHARM,NBCC,NSLNISP,OLAELEC,PEL,PNBHOUSING,POONAWALLA,PRINCEPIPE,PVRINOX,RADICO,RAIN,RAMCOCEM,RBLBANK,REDINGTON,ROSSARI,ROUTE,RVNL,SIGNATURE,SJVN,SOBHA,SONATSOFTW,SPARC,STARHEALTH,SUNTECK,SUZLON,SWANCORP,SWSOLAR,TANLA,TRITURBINE,TRIVENI,TTML,UTIAMC,VIPIND,WHIRLPOOL,WOCKPHARMA,ZEEL,ZENSARTECH"
2015-10-31,"360ONE,AADHARHFC,AAVAS,ABREL,ACE,AEGISCHEM,AEGISLOG,AEGISVOPAK,AFFLE,ALLCARGO,ALOKINDS,AMBER,ANANDRATHI,ANGELONE,ANURAS,APARINDS,APTUS,ARE&M,ASTERDM,ATUL,AVANTIFEED,BAJAJELEC,BALAMINES,BALRAMCHIN,BANDHANBNK,BASF,BATAINDIA,BEML,BIRLACORPN,BLS,BRIGADE,BSOFT,CAMS,CDSL,CENTRALBK,CESC,CGCL,CHAMBLFERT,CHEMPLASTS,CHENNPETRO,CHOLAHLDNG,CYIENT,DATAPATTNS,DBL,DCMSHRIRAM,DELTACORP,DEVYANI,EDELWEISS,FINCABLES,FINEORG,FSL,GILLETTE,GLAND,GMMPFAUDLR,GODIGIT,GRANULES,GRSE,HAPPSTMNDS,HBLENGINE,HEG,HFCL,HINDCOPPER,IBULHSGFIN,IDFC,IFCI,INDIGOPNTS,INOXWIND,INTELLECT,IOB,JBCHEPHARM,JBMA,JINDALSAW,JKLAKSHMI,JMFINANCIL,JUBLINGREA,JUSTDIAL,JWL,JYOTHYLAB,JYOTICNC,KALYANKJIL,KAYNES,KEC,KEI,KPIL,LALPATHLAB,LATENTVIEW,LAURUSLABS,LUXIND,LXCHEM,MAPMYINDIA,MASTEK,MCX,MEDPLUS,METROBRAND,MGL,MMTC,MOTILALOFS,NATCOPHARM,NBCC,NSLNISP,OLAELEC,PEL,PNBHOUSING,POONAWALLA,PRINCEPIPE,PVRINOX,RADICO,RAIN,RAMCOCEM,RBLBANK,REDINGTON,ROSSARI,ROUTE,RVNL,SIGNATURE,SJVN,SOBHA,SONATSOFTW,SPARC,STARHEALTH,SUNTECK,SUZLON,SWANCORP,SWSOLAR,TANLA,TRITURBINE,TRIVENI,TTML,UTIAMC,VIPIND,WHIRLPOOL,WOCKPHARMA,ZEEL,ZENSARTECH"
2015-11-30,"360ONE,AADHARHFC,AAVAS,ABREL,ACE,AEGISCHEM,AEGISLOG,AEGISVOPAK,AFFLE,ALLCARGO,ALOKINDS,AMBER,ANANDRATHI,ANGELONE,ANURAS,APARINDS,APTUS,ARE&M,ASTERDM,ATUL,AVANTIFEED,BAJAJELEC,BALAMINES,BALRAMCHIN,BANDHANBNK,BASF,BATAINDIA,BEML,BIRLACORPN,BLS,BRIGADE,BSOFT,CAMS,CDSL,CENTRALBK,CESC,CGCL,CHAMBLFERT,CHEMPLASTS,CHENNPETRO,CHOLAHLDNG,CYIENT,DATAPATTNS,DBL,DCMSHRIRAM,DELTACORP,DEVYANI,EDELWEISS,FINCABLES,FINEORG,FSL,GILLETTE,GLAND,GMMPFAUDLR,GODIGIT,GRANULES,GRSE,HAPPSTMNDS,HBLENGINE,HEG,HFCL,HINDCOPPER,IBULHSGFIN,IDFC,IFCI,INDIGOPNTS,INOXWIND,INTELLECT,IOB,JBCHEPHARM,JBMA,JINDALSAW,JKLAKSHMI,JMFINANCIL,JUBLINGREA,JUSTDIAL,JWL,JYOTHYLAB,JYOTICNC,KALYANKJIL,KAYNES,KEC,KEI,KPIL,LALPATHLAB,LATENTVIEW,LAURUSLABS,LUXIND,LXCHEM,MAPMYINDIA,MASTEK,MCX,MEDPLUS,METROBRAND,MGL,MMTC,MOTILALOFS,NATCOPHARM,NBCC,NSLNISP,OLAELEC,PEL,PNBHOUSING,POONAWALLA,PRINCEPIPE,PVRINOX,RADICO,RAIN,RAMCOCEM,RBLBANK,REDINGTON,ROSSARI,ROUTE,RVNL,SIGNATURE,SJVN,SOBHA,SONATSOFTW,SPARC,STARHEALTH,SUNTECK,SUZLON,SWANCORP,SWSOLAR,TANLA,TRITURBINE,TRIVENI,TTML,UTIAMC,VIPIND,WHIRLPOOL,WOCKPHARMA,ZEEL,ZENSARTECH"
2015-12-31,"360ONE,AADHARHFC,AAVAS,ABREL,ACE,AEGISCHEM,AEGISLOG,AEGISVOPAK,AFFLE,ALLCARGO,ALOKINDS,AMBER,ANANDRATHI,ANGELONE,ANURAS,APARINDS,APTUS,ARE&M,ASTERDM,ATUL,AVANTIFEED,BAJAJELEC,BALAMINES,BALRAMCHIN,BANDHANBNK,BASF,BATAINDIA,BEML,BIRLACORPN,BLS,BRIGADE,BSOFT,CAMS,CDSL,CENTRALBK,CESC,CGCL,CHAMBLFERT,CHEMPLASTS,CHENNPETRO,CHOLAHLDNG,CYIENT,DATAPATTNS,DBL,DCMSHRIRAM,DELTACORP,DEVYANI,EDELWEISS,FINCABLES,FINEORG,FSL,GILLETTE,GLAND,GMMPFAUDLR,GODIGIT,GRANULES,GRSE,HAPPSTMNDS,HBLENGINE,HEG,HFCL,HINDCOPPER,IBULHSGFIN,IDFC,IFCI,INDIGOPNTS,INOXWIND,INTELLECT,IOB,JBCHEPHARM,JBMA,JINDALSAW,JKLAKSHMI,JMFINANCIL,JUBLINGREA,JUSTDIAL,JWL,JYOTHYLAB,JYOTICNC,KALYANKJIL,KAYNES,KEC,KEI,KPIL,LALPATHLAB,LATENTVIEW,LAURUSLABS,LUXIND,LXCHEM,MAPMYINDIA,MASTEK,MCX,MEDPLUS,METROBRAND,MGL,MMTC,MOTILALOFS,NATCOPHARM,NBCC,NSLNISP,OLAELEC,PEL,PNBHOUSING,POONAWALLA,PRINCEPIPE,PVRINOX,RADICO,RAIN,RAMCOCEM,RBLBANK,REDINGTON,ROSSARI,ROUTE,RVNL,SIGNATURE,SJVN,SOBHA,SONATSOFTW,SPARC,STARHEALTH,SUNTECK,SUZLON,SWANCORP,SWSOLAR,TANLA,TRITURBINE,TRIVENI,TTML,UTIAMC,VIPIND,WHIRLPOOL,WOCKPHARMA,ZEEL,ZENSARTECH"
2016-01-31,"360ONE,AADHARHFC,AAVAS,ABREL,ACE,AEGISCHEM,AEGISLOG,AEGISVOPAK,AFFLE,ALLCARGO,ALOKINDS,AMBER,ANANDRATHI,ANGELONE,ANURAS,APARINDS,APTUS,ARE&M,ASTERDM,ATUL,AVANTIFEED,BAJAJELEC,BALAMINES,BALRAMCHIN,BANDHANBNK,BASF,BATAINDIA,BEML,BIRLACORPN,BLS,BRIGADE,BSOFT,CAMS,CDSL,CENTRALBK,CESC,CGCL,CHAMBLFERT,CHEMPLASTS,CHENNPETRO,CHOLAHLDNG,CYIENT,DATAPATTNS,DBL,DCMSHRIRAM,DELTACORP,DEVYANI,EDELWEISS,FINCABLES,FINEORG,FSL,GILLETTE,GLAND,GMMPFAUDLR,GODIGIT,GRANULES,GRSE,HAPPSTMNDS,HBLENGINE,HEG,HFCL,HINDCOPPER,IBULHSGFIN,IDFC,IFCI,INDIGOPNTS,INOXWIND,INTELLECT,IOB,JBCHEPHARM,JBMA,JINDALSAW,JKLAKSHMI,JMFINANCIL,JUBLINGREA,JUSTDIAL,JWL,JYOTHYLAB,JYOTICNC,KALYANKJIL,KAYNES,KEC,KEI,KPIL,LALPATHLAB,LATENTVIEW,LAURUSLABS,LUXIND,LXCHEM,MAPMYINDIA,MASTEK,MCX,MEDPLUS,METROBRAND,MGL,MMTC,MOTILALOFS,NATCOPHARM,NBCC,NSLNISP,OLAELEC,PEL,PNBHOUSING,POONAWALLA,PRINCEPIPE,PVRINOX,RADICO,RAIN,RAMCOCEM,RBLBANK,REDINGTON,ROSSARI,ROUTE,RVNL,SIGNATURE,SJVN,SOBHA,SONATSOFTW,SPARC,STARHEALTH,SUNTECK,SUZLON,SWANCORP,SWSOLAR,TANLA,TRITURBINE,TRIVENI,TTML,UTIAMC,VIPIND,WHIRLPOOL,WOCKPHARMA,ZEEL,ZENSARTECH"
2016-02-29,"360ONE,AADHARHFC,AAVAS,ABREL,ACE,AEGISCHEM,AEGISLOG,AEGISVOPAK,AFFLE,ALLCARGO,ALOKINDS,AMBER,ANANDRATHI,ANGELONE,ANURAS,APARINDS,APTUS,ARE&M,ASTERDM,ATUL,AVANTIFEED,BAJAJELEC,BALAMINES,BALRAMCHIN,BANDHANBNK,BASF,BATAINDIA,BEML,BIRLACORPN,BLS,BRIGADE,BSOFT,CAMS,CDSL,CENTRALBK,CESC,CGCL,CHAMBLFERT,CHEMPLASTS,CHENNPETRO,CHOLAHLDNG,CYIENT,DATAPATTNS,DBL,DCMSHRIRAM,DELTACORP,DEVYANI,EDELWEISS,FINCABLES,FINEORG,FSL,GILLETTE,GLAND,GMMPFAUDLR,GODIGIT,GRANULES,GRSE,HAPPSTMNDS,HBLENGINE,HEG,HFCL,HINDCOPPER,IBULHSGFIN,IDFC,IFCI,INDIGOPNTS,INOXWIND,INTELLECT,IOB,JBCHEPHARM,JBMA,JINDALSAW,JKLAKSHMI,JMFINANCIL,JUBLINGREA,JUSTDIAL,JWL,JYOTHYLAB,JYOTICNC,KALYANKJIL,KAYNES,KEC,KEI,KPIL,LALPATHLAB,LATENTVIEW,LAURUSLABS,LUXIND,LXCHEM,MAPMYINDIA,MASTEK,MCX,MEDPLUS,METROBRAND,MGL,MMTC,MOTILALOFS,NATCOPHARM,NBCC,NSLNISP,OLAELEC,PEL,PNBHOUSING,POONAWALLA,PRINCEPIPE,PVRINOX,RADICO,RAIN,RAMCOCEM,RBLBANK,REDINGTON,ROSSARI,ROUTE,RVNL,SIGNATURE,SJVN,SOBHA,SONATSOFTW,SPARC,STARHEALTH,SUNTECK,SUZLON,SWANCORP,SWSOLAR,TANLA,TRITURBINE,TRIVENI,TTML,UTIAMC,VIPIND,WHIRLPOOL,WOCKPHARMA,ZEEL,ZENSARTECH"
2016-03-31,"360ONE,AADHARHFC,AAVAS,ABREL,ACE,AEGISCHEM,AEGISLOG,AEGISVOPAK,AFFLE,ALLCARGO,ALOKINDS,AMBER,ANANDRATHI,ANGELONE,ANURAS,APARINDS,APTUS,ARE&M,ASTERDM,ATUL,AVANTIFEED,BAJAJELEC,BALAMINES,BALRAMCHIN,BANDHANBNK,BASF,BATAINDIA,BEML,BIRLACORPN,BLS,BRIGADE,BSOFT,CAMS,CDSL,CENTRALBK,CESC,CGCL,CHAMBLFERT,CHEMPLASTS,CHENNPETRO,CHOLAHLDNG,CYIENT,DATAPATTNS,DBL,DCMSHRIRAM,DELTACORP,DEVYANI,EDELWEISS,FINCABLES,FINEORG,FSL,GILLETTE,GLAND,GMMPFAUDLR,GODIGIT,GRANULES,GRSE,HAPPSTMNDS,HBLENGINE,HEG,HFCL,HINDCOPPER,IBULHSGFIN,IDFC,IFCI,INDIGOPNTS,INOXWIND,INTELLECT,IOB,JBCHEPHARM,JBMA,JINDALSAW,JKLAKSHMI,JMFINANCIL,JUBLINGREA,JUSTDIAL,JWL,JYOTHYLAB,JYOTICNC,KALYANKJIL,KAYNES,KEC,KEI,KPIL,LALPATHLAB,LATENTVIEW,LAURUSLABS,LUXIND,LXCHEM,MAPMYINDIA,MASTEK,MCX,MEDPLUS,METROBRAND,MGL,MMTC,MOTILALOFS,NATCOPHARM,NBCC,NSLNISP,OLAELEC,PEL,PNBHOUSING,POONAWALLA,PRINCEPIPE,PVRINOX,RADICO,RAIN,RAMCOCEM,RBLBANK,REDINGTON,ROSSARI,ROUTE,RVNL,SIGNATURE,SJVN,SOBHA,SONATSOFTW,SPARC,STARHEALTH,SUNTECK,SUZLON,SWANCORP,SWSOLAR,TANLA,TRITURBINE,TRIVENI,TTML,UTIAMC,VIPIND,WHIRLPOOL,WOCKPHARMA,ZEEL,ZENSARTECH"
2016-04-30,"360ONE,AADHARHFC,AAVAS,ABREL,ACE,AEGISCHEM,AEGISLOG,AEGISVOPAK,AFFLE,ALLCARGO,ALOKINDS,AMBER,ANANDRATHI,ANGELONE,ANURAS,APARINDS,APTUS,ARE&M,ASTERDM,ATUL,AVANTIFEED,BAJAJELEC,BALAMINES,BALRAMCHIN,BANDHANBNK,BASF,BATAINDIA,BEML,BIRLACORPN,BLS,BRIGADE,BSOFT,CAMS,CDSL,CENTRALBK,CESC,CGCL,CHAMBLFERT,CHEMPLASTS,CHENNPETRO,CHOLAHLDNG,CYIENT,DATAPATTNS,DBL,DCMSHRIRAM,DELTACORP,DEVYANI,EDELWEISS,FINCABLES,FINEORG,FSL,GILLETTE,GLAND,GMMPFAUDLR,GODIGIT,GRANULES,GRSE,HAPPSTMNDS,HBLENGINE,HEG,HFCL,HINDCOPPER,IBULHSGFIN,IDFC,IFCI,INDIGOPNTS,INOXWIND,INTELLECT,IOB,JBCHEPHARM,JBMA,JINDALSAW,JKLAKSHMI,JMFINANCIL,JUBLINGREA,JUSTDIAL,JWL,JYOTHYLAB,JYOTICNC,KALYANKJIL,KAYNES,KEC,KEI,KPIL,LALPATHLAB,LATENTVIEW,LAURUSLABS,LUXIND,LXCHEM,MAPMYINDIA,MASTEK,MCX,MEDPLUS,METROBRAND,MGL,MMTC,MOTILALOFS,NATCOPHARM,NBCC,NSLNISP,OLAELEC,PEL,PNBHOUSING,POONAWALLA,PRINCEPIPE,PVRINOX,RADICO,RAIN,RAMCOCEM,RBLBANK,REDINGTON,ROSSARI,ROUTE,RVNL,SIGNATURE,SJVN,SOBHA,SONATSOFTW,SPARC,STARHEALTH,SUNTECK,SUZLON,SWANCORP,SWSOLAR,TANLA,TRITURBINE,TRIVENI,TTML,UTIAMC,VIPIND,WHIRLPOOL,WOCKPHARMA,ZEEL,ZENSARTECH"
2016-05-31,"360ONE,AADHARHFC,AAVAS,ABREL,ACE,AEGISCHEM,AEGISLOG,AEGISVOPAK,AFFLE,ALLCARGO,ALOKINDS,AMBER,ANANDRATHI,ANGELONE,ANURAS,APARINDS,APTUS,ARE&M,ASTERDM,ATUL,AVANTIFEED,BAJAJELEC,BALAMINES,BALRAMCHIN,BANDHANBNK,BASF,BATAINDIA,BEML,BIRLACORPN,BLS,BRIGADE,BSOFT,CAMS,CDSL,CENTRALBK,CESC,CGCL,CHAMBLFERT,CHEMPLASTS,CHENNPETRO,CHOLAHLDNG,CYIENT,DATAPATTNS,DBL,DCMSHRIRAM,DELTACORP,DEVYANI,EDELWEISS,FINCABLES,FINEORG,FSL,GILLETTE,GLAND,GMMPFAUDLR,GODIGIT,GRANULES,GRSE,HAPPSTMNDS,HBLENGINE,HEG,HFCL,HINDCOPPER,IBULHSGFIN,IDFC,IFCI,INDIGOPNTS,INOXWIND,INTELLECT,IOB,JBCHEPHARM,JBMA,JINDALSAW,JKLAKSHMI,JMFINANCIL,JUBLINGREA,JUSTDIAL,JWL,JYOTHYLAB,JYOTICNC,KALYANKJIL,KAYNES,KEC,KEI,KPIL,LALPATHLAB,LATENTVIEW,LAURUSLABS,LUXIND,LXCHEM,MAPMYINDIA,MASTEK,MCX,MEDPLUS,METROBRAND,MGL,MMTC,MOTILALOFS,NATCOPHARM,NBCC,NSLNISP,OLAELEC,PEL,PNBHOUSING,POONAWALLA,PRINCEPIPE,PVRINOX,RADICO,RAIN,RAMCOCEM,RBLBANK,REDINGTON,ROSSARI,ROUTE,RVNL,SIGNATURE,SJVN,SOBHA,SONATSOFTW,SPARC,STARHEALTH,SUNTECK,SUZLON,SWANCORP,SWSOLAR,TANLA,TRITURBINE,TRIVENI,TTML,UTIAMC,VIPIND,WHIRLPOOL,WOCKPHARMA,ZEEL,ZENSARTECH"
